id, label, obsolete, ordering
"8px","8px","0","100"
"10px","10px","0","200"
"12px","12px","0","300"
"16px","16px","0","400"
"18px","18px","0","500"
"24px","24px","0","600"
"1em","1em","0","700"
"1.2em","1.2em","0","800"
"2.5em","2.5em","0","900"
"3em","3em","0","1000"
