id, label, obsolete
"LeroyMerlin","","0"
"Spruce","","0"
"Cerulean","","0"
"Simplex","","0"
"Simplex2","","0"
"United","","0"
"Cyborg","","0"
"BladesOfSteel","","0"
"supplyChain","","0"
