id, label, obsolete, ordering
"Usine à Sites - Contenu","Usine à Sites - Contenu","0","10"
"Usine à Sites - Navigation","Usine à Sites - Navigation","0","20"
"Usine à Sites - Actualités","Usine à Sites - Actualités","0","30"
"Actualités","Actualités","0","40"
"Média","Média","0","50"
"Intranet","Intranet","0","60"
"Divers","Divers","0","70"
